,NOME,NUM,LATITUDE,LONGITUDE,SEQ,GRUPO,SENTIDO,TIPO,ITINERARY_ID,COD,NOME_LINHA,SOMENTE_CARTAO,LATITUDE_FINAL,LONGITUDE_FINAL,DIST_KM
9,Praça Santos Andrade - 001 - Circular Centro (Horário),103508,-25.42862179041,-49.267123790122,1,,Horário,Novo mobiliário,1882,001,CIRCULAR CENTRO (HORÁRIO),S,-25.428170975247,-49.264558435626,0.3
10,"Rua Tibagi, 79 - Centro",110048,-25.428170975247,-49.264558435626,2,,Horário,Novo mobiliário,1882,001,CIRCULAR CENTRO (HORÁRIO),S,-25.430387594599,-49.263602228112,0.3
8,"Rua Tibagi, 386 - Centro",110049,-25.430387594599,-49.263602228112,3,,Horário,Novo mobiliário,1882,001,CIRCULAR CENTRO (HORÁRIO),S,-25.433502662412,-49.262257100291,0.4
2,"Rua Tibagi, 776 - Centro",110408,-25.433502662412,-49.262257100291,4,,Horário,Placa em poste,1882,001,CIRCULAR CENTRO (HORÁRIO),S,-25.435186762549,-49.264932603783,0.4
11,"Av. Visconde de Guarapuava, 2324 - Centro",140205,-25.435186762549,-49.264932603783,5,,Horário,Novo mobiliário,1882,001,CIRCULAR CENTRO (HORÁRIO),S,-25.435959450504,-49.266889275259,0.2
7,"Av. Visconde de Guarapuava, 2646 - Centro",140941,-25.435959450504,-49.266889275259,6,,Horário,Novo mobiliário,1882,001,CIRCULAR CENTRO (HORÁRIO),S,-25.437003989696,-49.269529910035,0.3
5,"Av. Visconde de Guarapuava, 2800 - Centro",110436,-25.437003989696,-49.269529910035,7,,Horário,Placa em cano,1882,001,CIRCULAR CENTRO (HORÁRIO),S,-25.438073257833,-49.272326273454,0.3
4,"AV. VISCONDE DE GUARAPUAVA, 3232",110459,-25.438073257833,-49.272326273454,8,,Horário,Placa em cano,1882,001,CIRCULAR CENTRO (HORÁRIO),S,-25.435714122928,-49.274807334953,2.0
0,"Praça Rui Barbosa, 632 - Centro",102034,-25.435714122928,-49.274807334953,9,,Horário,Novo mobiliário,1882,001,CIRCULAR CENTRO (HORÁRIO),S,-25.433122323438,-49.276558638757,2.0
6,"Praça Gen. Osório, 389 - Centro",103505,-25.433122323438,-49.276558638757,10,,Horário,Novo mobiliário,1882,001,CIRCULAR CENTRO (HORÁRIO),S,-25.430894327324,-49.276454032606,0.4
