,NOME,NUM,LATITUDE,LONGITUDE,SEQ,GRUPO,SENTIDO,TIPO,ITINERARY_ID,COD,COORDENADA,LATITUDE_FINAL,LONGITUDE_FINAL,DIST_KM
8878,Praça Tiradentes - 979 - Linha Turismo,101016,-25.429586014047,-49.271544255016,1,,Turismo,Linha Turismo,1065,979,"(-25.429586014047, -49.271544255016)",-25.432102523828,-49.274255968806,1.0
6345,"Av. Luís Xavier, 68 - Centro (Rua das Flores)",110206,-25.432102523828,-49.274255968806,2,,Turismo,Linha Turismo,1065,979,"(-25.432102523828, -49.274255968806)",-25.434898822303,-49.27603662014,0.9
11459,"Rua Visconde de Nácar, 1172 - Centro (Rua 24 Horas)",110093,-25.434898822303,-49.27603662014,3,,Turismo,Linha Turismo,1065,979,"(-25.434898822303, -49.27603662014)",-25.436527028414,-49.272802383714,0.5
1228,Praça Rui Barbosa - 165 - Universidades - 180 - Água Verde/Abranches - 285 - Juvevê/Água Verde,102026,-25.436527028414,-49.272802383714,4,,Turismo,Novo mobiliário,1065,979,"(-25.436527028414, -49.272802383714)",-25.437553560258,-49.26490008831,1.1
3781,"Rua Rockfeller, 86 - Rebouças (Museu Ferroviário)",110212,-25.437553560258,-49.26490008831,5,,Turismo,Linha Turismo,1065,979,"(-25.437553560258, -49.26490008831)",-25.448009655163,-49.257454276085,2.0
1229,"Rua Coronel Zacarias, 1 - Prado Velho (Teatro Paiol)",140277,-25.448009655163,-49.257454276085,6,,Turismo,Linha Turismo,1065,979,"(-25.448009655163, -49.257454276085)",-25.442045869792,-49.241418773503,2.0
3779,"Rua Eng. Ostoja Roguski, 123 - Jardim Botânico (Jd. Botânico)",140104,-25.442045869792,-49.241418773503,7,,Turismo,Linha Turismo,1065,979,"(-25.442045869792, -49.241418773503)",-25.433946089035,-49.257352101092,2.8
6346,"Av. Pres. Affonso Camargo, 175 - Jardim Botânico (Mercado Municipal)",110021,-25.433946089035,-49.257352101092,8,,Turismo,Novo mobiliário,1065,979,"(-25.433946089035, -49.257352101092)",-25.428606306924,-49.265269813709,1.3
1226,"Rua Quinze de Novembro, 971 - Centro (Teatro Guaíra)",110092,-25.428606306924,-49.265269813709,9,,Turismo,Linha Turismo,1065,979,"(-25.428606306924, -49.265269813709)",-25.429598205,-49.269204196,0.7
8879,Paço da Liberdade,110001,-25.429598205,-49.269204196,10,,Turismo,Linha Turismo,1065,979,"(-25.429598205, -49.269204196)",-25.423636504306,-49.26860706925,0.7
13993,"Rua Heitor S. de França, 385 - Centro Cívico (Memorial Árabe)",110002,-25.423636504306,-49.26860706925,11,,Turismo,Linha Turismo,1065,979,"(-25.423636504306, -49.26860706925)",-25.416396387459,-49.268655180931,0.9
8883,"Rua Ernani Santiago de Oliveira, 95 - Centro Cívico (Centro Cívico)",120461,-25.416396387459,-49.268655180931,12,,Turismo,Linha Turismo,1065,979,"(-25.416396387459, -49.268655180931)",-25.409135103349,-49.271467812007,1.1
19036,"Rua Mateus Leme, 2081 - São Francisco (Bosque do Papa)",120573,-25.409135103349,-49.271467812007,13,,Turismo,Linha Turismo,1065,979,"(-25.409135103349, -49.271467812007)",-25.409050081767,-49.267226903331,0.9
16480,"Rua Manoel Eufrásio, 1516 - Juvevê (Bosque do Papa / Museu Oscar Niemeyer)",120542,-25.409050081767,-49.267226903331,14,,Turismo,Linha Turismo,1065,979,"(-25.409050081767, -49.267226903331)",-25.407194983665,-49.285600036383,3.1
8881,"Rua Francisco Schaffer, 150 - Vista Alegre (Bosque Alemão)",190419,-25.407194983665,-49.285600036383,15,,Turismo,Linha Turismo,1065,979,"(-25.407194983665, -49.285600036383)",-25.398618570942,-49.282371829869,2.1
16477,"Rua Victor Benato, 283 - Pilarzinho (Universidade Livre do Meio Ambiente)",120543,-25.398618570942,-49.282371829869,16,,Turismo,Linha Turismo,1065,979,"(-25.398618570942, -49.282371829869)",-25.388408422269,-49.267450869083,2.9
6348,"Rua Mateus Leme, 4556 - São Lourenço (Parque São Lourenço)",120718,-25.388408422269,-49.267450869083,17,,Turismo,Linha Turismo,1065,979,"(-25.388408422269, -49.267450869083)",-25.385499095487,-49.275202565641,0.9
6347,"Rua João Gava, 870 - Abranches (Ópera de Arame - Pedreira Paulo Leminski)",120074,-25.385499095487,-49.275202565641,18,,Turismo,Linha Turismo,1065,979,"(-25.385499095487, -49.275202565641)",-25.378384576849,-49.280843138695,1.3
13994,"Rua Oswaldo Maciel, 1 - Taboão (Parque Tanguá)",120586,-25.378384576849,-49.280843138695,19,,Turismo,Linha Turismo,1065,979,"(-25.378384576849, -49.280843138695)",-25.388425633802,-49.305970240819,3.8
3780,"Rua Melchiades Silveira do Valle, 1093 - São João (Parque Tingui)",190363,-25.388425633802,-49.305970240819,20,,Turismo,Linha Turismo,1065,979,"(-25.388425633802, -49.305970240819)",-25.402412859384,-49.305708892714,1.8
1227,Rua Doutor Mbá de Ferrante - São João (Memorial Ucraniano),190361,-25.402412859384,-49.305708892714,21,,Turismo,Linha Turismo,1065,979,"(-25.402412859384, -49.305708892714)",-25.414494257108,-49.304343641943,2.1
16479,"Av. Manoel Ribas, 2551 - Mercês",190550,-25.414494257108,-49.304343641943,22,,Turismo,Novo mobiliário,1065,979,"(-25.414494257108, -49.304343641943)",-25.405702536056,-49.326427280903,2.7
16481,"Av. Manoel Ribas, 5666 - Santa Felicidade",190968,-25.405702536056,-49.326427280903,23,,Turismo,Linha Turismo,1065,979,"(-25.405702536056, -49.326427280903)",-25.402918684276,-49.329896718264,0.5
1230,"Rua Santa Bertila Boscardin, 175 - Santa Felicidade",190969,-25.402918684276,-49.329896718264,24,,Turismo,Linha Turismo,1065,979,"(-25.402918684276, -49.329896718264)",-25.423138307911,-49.306012988091,4.1
8882,"Av. Cândido Hartmann, 2205 - Mercês (Parque Barigui)",190941,-25.423138307911,-49.306012988091,25,,Turismo,Linha Turismo,1065,979,"(-25.423138307911, -49.306012988091)",-25.423812053353,-49.294581923942,1.3
8880,"Rua Jacarezinho, 620 - Mercês",190211,-25.423812053353,-49.294581923942,26,,Turismo,Novo mobiliário,1065,979,"(-25.423812053353, -49.294581923942)",-25.427457816052,-49.274531210603,2.6
16478,"Alameda Dr. Muricy, 1111 - São Francisco",110325,-25.427457816052,-49.274531210603,27,,Turismo,Placa em poste,1065,979,"(-25.427457816052, -49.274531210603)",-25.429586014047,-49.271544255016,0.6
16476,Praça Tiradentes - 979 - Linha Turismo,101016,-25.429586014047,-49.271544255016,28,,Turismo,Linha Turismo,1065,979,"(-25.429586014047, -49.271544255016)",,,0.0
